unique_id,last_name,first_name,address,city,state,zip_code,date_of_birth,mobile_number,role_code,work_state
1,JOHNSON,SARAH,123 Maple St.,Boise,ID,83701,5/17/1956,2085551234,6,ID
2,HSU,HOWARD,456 Oak Ave.,Chicago,IL,60601,11/25/1968,3125555678,6,IL
3,TURNER,YOLANDA,789 Pine Rd.,Springfield,IL,62701,9/10/1954,2175559876,6,IL
4,DEFOE,GREG,101 Elm St.,Indianapolis,IN,46201,3/5/1949,3175554321,6,IN
5,WADWHA,SAPNA,202 Cedar Dr.,Madison,WI,53701,7/14/1963,6085556543,6,WI
6,CHEN,ERIC,303 Birch Blvd.,Milwaukee,WI,53201,1/22/1959,4145558765,6,IL
7,ESPERANZA,LOUIS,404 Willow Ln.,St. Louis,MO,63101,12/30/1950,3145554325,6,MO
8,JANI,ELAINE,505 Aspen Ct.,Boise,ID,83702,10/18/1965,2085556789,6,ID
9,OLATUNJI,ADEBO,606 Redwood St.,Naperville,IL,60540,6/7/1958,6305554326,6,IL
10,JULIUS,ROBERT,707 Hickory Dr.,Fort Wayne,IN,46801,2/27/1953,2605557654,6,IN
11,SMITH,ISIDORE,808 Poplar Ave.,Green Bay,WI,54301,11/14/1957,9205554567,6,WI
12,SEJOUR,SAHEL,909 Spruce St.,Columbia,MO,65201,4/19/1948,5735554327,6,MO
13,GREENE,JD,1010 Cypress Dr.,Bloomington,IL,61701,8/29/1955,3095556548,6,IL
14,DORCILUS,DOUGLAS,1111 Walnut St.,Nampa,ID,83651,3/15/1966,2085559874,6,ID
15,SMITH,TANISHA,1212 Magnolia Blvd.,Rockford,IL,61101,9/23/1952,8155551239,6,IL
16,SOPRANO,KENNY,1313 Chestnut Ave.,Evansville,IN,47701,5/4/1951,8125558761,6,IN
17,KIWALSKI,BOB,1414 Fir St.,Kansas City,MO,64101,7/11/1962,8165552345,6,MO
18,MCFADDEN,MOON,1515 Sycamore Rd.,Madison,WI,53702,10/26/1957,6085556784,6,WI
19,WINTER HAWK,JANE,1616 Maplewood Ct.,St. Louis,MO,63102,2/8/1964,3145550987,6,MO
20,FIGEROA,ENRIQUE,1717 Evergreen St.,Milwaukee,WI,53202,12/21/1950,4145552346,6,WI
0,UNKNOWN,UNKNOWN,202 Lakeside Dr.,Chicago,IL,60602,1/1/1999,3126015000,6,IL
