unique_id,last_name,first_name,address,city,state,zip_code,date_of_birth,mobile_number,role_code,medical_group_code,salary,date_hired,separation_date
1,Smith,John,123 Maple St.,Boise,ID,83701,4/22/1950,2085551234,1,1001,55000,3/15/2021,
2,Johnson,Emily,456 Oak Ave.,Twin Falls,ID,83301,9/13/1951,,2,1002,62000,6/7/2022,7/12/2023
3,Williams,Michael,789 Pine Rd.,Idaho Falls,ID,83401,2/29/1952,2085555678,3,1003,48000,11/23/2021,
4,Brown,Sarah,101 Elm St.,Nampa,ID,83651,6/15/1953,2085558765,4,1004,50000,4/30/2022,
5,Jones,David,202 Cedar Dr.,Chicago,IL,60601,11/3/1954,3125554321,5,1005,53000,9/14/2020,
6,Garcia,Jessica,303 Birch Blvd.,Springfield,IL,62701,3/25/1955,2175556543,1,1006,59000,5/1/2021,2/18/2023
7,Miller,Robert,404 Willow Ln.,Naperville,IL,60540,8/9/1956,6305559876,2,1007,47000,7/23/2021,
8,Davis,Mary,505 Aspen Ct.,Peoria,IL,61601,12/19/1957,,3,1008,56000,10/12/2021,
9,Rodriguez,James,606 Redwood St.,Fort Wayne,IN,46801,7/7/1958,2605551239,4,1009,51000,8/19/2020,
10,Martinez,Linda,707 Hickory Dr.,Evansville,IN,47701,1/14/1959,8125554325,5,1010,63000,3/4/2022,5/30/2023
11,Hernandez,Daniel,808 Poplar Ave.,Bloomington,IN,47401,5/30/1960,8125555678,1,1011,48000,12/17/2021,
12,Lopez,Elizabeth,909 Spruce St.,Terre Haute,IN,47801,10/18/1961,8125558761,2,1012,52000,6/25/2022,
13,Gonzalez,Richard,1010 Cypress Dr.,Kansas City,MO,64101,3/11/1962,8165554326,3,1013,50000,9/8/2021,
14,Wilson,Barbara,1111 Walnut St.,St. Louis,MO,63101,7/29/1963,,4,1014,62000,11/1/2021,6/14/2023
15,Anderson,Joseph,1212 Magnolia Blvd,Columbia,MO,65201,12/5/1964,5735556548,5,1015,54000,7/19/2022,
16,Thomas,Susan,1313 Chestnut Ave.,Springfield,MO,65801,4/14/1965,4175559874,1,1016,53000,10/5/2020,
17,Taylor,Charles,1414 Fir St.,Madison,WI,53701,9/1/1966,,2,1017,61000,2/22/2021,
18,Moore,Patricia,1515 Sycamore Rd.,Milwaukee,WI,53201,2/20/1967,4145554327,3,1018,47000,5/3/2022,
19,Jackson,Christopher,1616 Maplewood Ct.,Green Bay,WI,54301,6/25/1968,9205558765,4,1019,58000,8/27/2021,3/21/2023
20,White,Margaret,1717 Evergreen St.,Eau Claire,WI,54701,11/30/1969,7155551234,5,1020,60000,10/18/2022,
21,Harris,Jennifer,123 Pine St.,Chicago,IL,60602,4/7/1970,3125555678,1,1021,65000,1/15/2021,
22,Clark,Steven,202 Cedar Dr.,Boise,ID,83702,8/15/1971,2085550987,2,1001,47000,4/11/2021,
23,Lewis,Dorothy,303 Birch Blvd.,Twin Falls,ID,83302,12/22/1972,,3,1002,52000,1/22/2022,8/9/2023
24,Walker,Brian,404 Willow Ln.,Idaho Falls,ID,83402,3/17/1973,2085552345,4,1003,50000,6/16/2021,
25,Hall,Betty,505 Aspen Ct.,Nampa,ID,83652,7/26/1974,2085553456,5,1004,60000,8/7/2022,
26,Allen,Dorothy,606 Redwood St.,Chicago,IL,60602,11/19/1975,3125554567,1,1005,52000,2/25/2021,
27,Young,Kenneth,707 Hickory Dr.,Springfield,IL,62702,1/28/1976,,2,1006,56000,5/14/2022,
28,King,Larry,808 Poplar Ave.,Naperville,IL,60541,6/14/1977,6305555678,3,1007,48000,11/9/2021,
29,Wright,Cynthia,909 Spruce St.,Peoria,IL,61602,10/21/1978,3095556548,4,1008,53000,4/3/2022,9/18/2023
30,King,Patricia,1010 Cypress Dr.,Fort Wayne,IN,46802,5/2/1979,2605554327,5,1009,47000,7/24/2021,
31,Wright,Linda,1111 Walnut St.,Evansville,IN,47702,9/9/1980,8125558765,1,1010,60000,2/20/2022,
32,Green,James,1212 Magnolia Blvd,Bloomington,IN,47402,2/24/1981,,2,1011,54000,11/3/2020,
33,Adams,Deborah,1313 Chestnut Ave.,Terre Haute,IN,47802,7/16/1982,8125553456,3,1012,52000,3/29/2021,
34,Baker,Matthew,1414 Fir St.,Kansas City,MO,64102,12/29/1983,8165555678,4,1013,47000,10/25/2021,11/2/2023
35,Nelson,Sandra,1515 Sycamore Rd.,St. Louis,MO,63102,3/8/1984,,5,1014,59000,6/12/2022,
36,Mitchell,Anthony,1616 Maplewood Ct.,Columbia,MO,65202,8/19/1985,5735554327,1,1015,51000,4/30/2021,
37,Perez,Stephanie,1717 Evergreen St.,Springfield,MO,65802,11/11/1986,4175559876,2,1016,56000,7/5/2021,
38,Roberts,Joshua,202 Lakeside Dr.,Madison,WI,53702,4/20/1987,6085552345,3,1017,47000,5/25/2022,10/11/2023
39,Turner,Andrew,303 Elm St.,Milwaukee,WI,53202,6/28/1988,4145555678,4,1018,52000,2/17/2021,
40,Phillips,Michelle,404 Pine St.,Green Bay,WI,54302,1/30/1989,,5,1019,60000,8/9/2021,
41,Campbell,Ryan,505 Cedar Dr.,Eau Claire,WI,54702,10/17/1990,7155558765,1,1020,49000,3/21/2022,
42,Parker,Brenda,606 Oak Ave.,Boise,ID,83703,3/23/1991,2085554328,2,1001,57000,12/2/2021,1/17/2023
43,Evans,Richard,707 Redwood St.,Twin Falls,ID,83303,7/5/1992,,3,1002,47000,5/6/2021,
44,Edwards,Donna,808 Willow Ln.,Idaho Falls,ID,83403,12/12/1993,2085550987,4,1003,53000,8/29/2022,
45,Collins,Jeffrey,909 Birch Blvd.,Nampa,ID,83653,4/3/1994,,5,1004,50000,7/20/2020,
46,Stewart,Amy,1010 Maple Rd.,Chicago,IL,60603,9/14/1995,3125552345,1,1005,51000,1/15/2021,
47,Sanchez,Teresa,1111 Pine Ct.,Springfield,IL,62703,2/2/1996,2175559876,2,1006,48000,6/22/2021,
48,Morris,Benjamin,1212 Elm Dr.,Naperville,IL,60542,6/19/1997,,3,1007,52000,11/29/2021,
49,Rogers,Lisa,1313 Fir St.,Peoria,IL,61603,11/25/1998,3095558765,4,1008,56000,3/15/2022,
50,Reed,Karen,1414 Sycamore Ct.,Fort Wayne,IN,46803,5/11/1999,2605554329,5,1009,48000,2/18/2021,6/30/2023
51,Cook,Timothy,1515 Willow Blvd.,Evansville,IN,47703,8/4/1951,8125550988,1,1010,49000,12/9/2021,
52,Bell,Dorothy,1616 Cedar St.,Bloomington,IN,47403,11/23/1952,8125553457,2,1011,53000,1/31/2022,
53,Murphy,Gregory,1717 Oak Ave.,Terre Haute,IN,47803,1/10/1953,8125555679,3,1012,57000,6/4/2021,
54,Bailey,Lauren,202 Redwood Dr.,Kansas City,MO,64103,5/19/1954,,4,1013,49000,10/5/2022,
55,Rivera,Eric,303 Willow Ct.,St. Louis,MO,63103,12/30/1955,3145552346,5,1014,60000,8/13/2021,9/19/2023
56,Cooper,Angela,404 Cedar Dr.,Columbia,MO,65203,3/6/1956,5735554328,1,1015,57000,3/10/2021,
